filename,slice,min_row,min_col,max_row,max_col
sub-10002_ses-s0_T1w.nii.gz,151,52,7,193,153
sub-10003_ses-s0_T1w.nii.gz,129,49,7,176,150
sub-10004_ses-s0_T1w.nii.gz,132,39,10,206,144
sub-10004_ses-s2_T1w.nii.gz,135,27,10,198,146
sub-10004_ses-s4_T1w.nii.gz,140,27,10,197,145
sub-10004_ses-s6_T1w.nii.gz,144,19,10,185,146
sub-10005_ses-s0_T1w.nii.gz,142,43,12,210,146
sub-10005_ses-s2_T1w.nii.gz,140,27,10,202,146
sub-10005_ses-s4_T1w.nii.gz,145,19,12,190,146
sub-10005_ses-s6_T1w.nii.gz,117,28,12,203,146
sub-10006_ses-s4_T1w.nii.gz,141,25,15,197,141
sub-10009_ses-s0_T1w.nii.gz,156,43,15,197,141
sub-10010_ses-s0_T1w.nii.gz,150,49,13,198,144
sub-10010_ses-s2_T1w.nii.gz,144,33,12,198,144
sub-10010_ses-s4_T1w.nii.gz,148,28,13,198,146
sub-10010_ses-s6_T1w.nii.gz,132,36,13,207,146
sub-10011_ses-s0_T1w.nii.gz,149,43,7,199,153
sub-10011_ses-s2_T1w.nii.gz,150,31,7,206,152
sub-10011_ses-s4_T1w.nii.gz,148,30,7,205,153
sub-10011_ses-s6_T1w.nii.gz,123,28,7,200,153
sub-10013_ses-s0_T1w.nii.gz,149,46,12,188,149
sub-10015_ses-s0_T1w.nii.gz,149,45,15,203,143
sub-10016_ses-s0_T1w.nii.gz,146,48,12,203,147
sub-10016_ses-s2_T1w.nii.gz,138,36,9,201,149
sub-10017_ses-s0_T1w.nii.gz,161,36,10,194,146
sub-10018_ses-s0_T1w.nii.gz,146,28,16,197,141
sub-10019_ses-s0_T1w.nii.gz,141,33,10,194,147
sub-10019_ses-s2_T1w.nii.gz,141,33,10,200,149
sub-10019_ses-s4_T1w.nii.gz,136,31,10,195,149
sub-10019_ses-s6_T1w.nii.gz,133,37,12,207,149
sub-10020_ses-s2_T1w.nii.gz,141,28,13,197,147
sub-10021_ses-s0_T1w.nii.gz,150,30,16,197,140
sub-10024_ses-s0_T1w.nii.gz,150,36,18,185,141
sub-10026_ses-s0_T1w.nii.gz,138,25,13,186,146
sub-10026_ses-s2_T1w.nii.gz,136,27,13,201,147
sub-10027_ses-s0_T1w.nii.gz,159,43,9,197,147
sub-10028_ses-s0_T1w.nii.gz,159,40,13,192,146
sub-10029_ses-s0_T1w.nii.gz,138,28,9,186,146
sub-10029_ses-s2_T1w.nii.gz,141,28,10,192,149
sub-10029_ses-s4_T1w.nii.gz,135,25,10,188,149
sub-10029_ses-s6_T1w.nii.gz,117,28,10,191,149
sub-10030_ses-s0_T1w.nii.gz,136,28,12,183,146
sub-10031_ses-s0_T1w.nii.gz,153,22,7,192,147
sub-10031_ses-s2_T1w.nii.gz,150,30,9,203,149
sub-10031_ses-s4_T1w.nii.gz,146,34,9,206,149
sub-10031_ses-s6_T1w.nii.gz,132,24,9,194,149
sub-10032_ses-s0_T1w.nii.gz,132,31,13,195,149
sub-10032_ses-s2_T1w.nii.gz,138,33,12,197,146
sub-10032_ses-s4_T1w.nii.gz,135,31,12,197,146
sub-10032_ses-s6_T1w.nii.gz,125,30,10,195,146
sub-10033_ses-s0_T1w.nii.gz,138,28,10,210,146
sub-10033_ses-s2_T1w.nii.gz,139,19,12,201,147
sub-10033_ses-s4_T1w.nii.gz,155,13,12,199,146
sub-10033_ses-s6_T1w.nii.gz,117,30,12,219,146
sub-10034_ses-s0_T1w.nii.gz,147,33,13,200,141
sub-10035_ses-s0_T1w.nii.gz,141,31,16,194,141
sub-10035_ses-s2_T1w.nii.gz,140,33,15,194,140
sub-10035_ses-s4_T1w.nii.gz,145,28,16,189,141
sub-10035_ses-s6_T1w.nii.gz,153,22,16,180,141
sub-10037_ses-s0_T1w.nii.gz,138,27,10,200,149
sub-10037_ses-s2_T1w.nii.gz,141,28,9,197,147
sub-10039_ses-s0_T1w.nii.gz,141,37,9,200,150
sub-10039_ses-s2_T1w.nii.gz,143,36,10,200,150
sub-10039_ses-s4_T1w.nii.gz,156,27,10,189,149
sub-10039_ses-s6_T1w.nii.gz,150,22,10,185,149
sub-10040_ses-s0_T1w.nii.gz,144,30,13,198,146
sub-10040_ses-s2_T1w.nii.gz,150,33,13,200,144
sub-10040_ses-s6_T1w.nii.gz,143,24,15,181,144
sub-10041_ses-s0_T1w.nii.gz,145,36,9,201,152
sub-10041_ses-s2_T1w.nii.gz,146,35,9,201,152
sub-10041_ses-s6_T1w.nii.gz,147,27,9,182,152
sub-10043_ses-s0_T1w.nii.gz,145,36,10,190,150
sub-10044_ses-s2_T1w.nii.gz,142,33,7,195,150
sub-10045_ses-s0_T1w.nii.gz,147,42,15,192,143
sub-10045_ses-s2_T1w.nii.gz,147,43,15,191,143
sub-10045_ses-s4_T1w.nii.gz,144,43,16,191,144
sub-10045_ses-s6_T1w.nii.gz,151,34,15,171,141
sub-10046_ses-s0_T1w.nii.gz,138,34,12,194,152
sub-10050_ses-s0_T1w.nii.gz,144,27,12,203,149
sub-10051_ses-s0_T1w.nii.gz,144,34,13,198,144
sub-10053_ses-s0_T1w.nii.gz,145,34,15,198,147
sub-10053_ses-s4_T1w.nii.gz,149,31,13,194,144
sub-10056_ses-s0_T1w.nii.gz,141,28,10,195,152
sub-10058_ses-s0_T1w.nii.gz,141,31,16,200,144
sub-10059_ses-s4_T1w.nii.gz,142,34,10,198,143
sub-10059_ses-s6_T1w.nii.gz,129,31,12,197,143
sub-10060_ses-s0_T1w.nii.gz,144,33,18,195,143
sub-10060_ses-s2_T1w.nii.gz,147,36,16,197,141
sub-10060_ses-s6_T1w.nii.gz,147,28,18,179,143
sub-10061_ses-s0_T1w.nii.gz,146,25,7,206,150
sub-10061_ses-s2_T1w.nii.gz,135,24,6,203,152
sub-10062_ses-s0_T1w.nii.gz,144,37,15,197,144
sub-10064_ses-s0_T1w.nii.gz,141,36,12,194,147
sub-10064_ses-s2_T1w.nii.gz,141,36,13,194,149
sub-10064_ses-s4_T1w.nii.gz,157,28,13,184,149
sub-10064_ses-s6_T1w.nii.gz,161,40,13,198,149
sub-10065_ses-s0_T1w.nii.gz,141,37,13,194,150
sub-10065_ses-s4_T1w.nii.gz,139,37,13,192,150
sub-10066_ses-s0_T1w.nii.gz,138,31,12,197,147
sub-10068_ses-s0_T1w.nii.gz,140,24,13,209,147
sub-10069_ses-s0_T1w.nii.gz,155,31,16,203,143
sub-10069_ses-s2_T1w.nii.gz,139,30,15,198,143
sub-10069_ses-s6_T1w.nii.gz,136,30,15,198,143
sub-10071_ses-s0_T1w.nii.gz,142,37,16,201,141
sub-10071_ses-s2_T1w.nii.gz,138,37,18,195,144
sub-10071_ses-s4_T1w.nii.gz,147,28,18,191,143
sub-10071_ses-s6_T1w.nii.gz,150,24,18,176,143
sub-10072_ses-s0_T1w.nii.gz,143,33,10,203,149
sub-10072_ses-s2_T1w.nii.gz,138,33,9,203,150
sub-10072_ses-s6_T1w.nii.gz,150,27,12,195,149
sub-10073_ses-s0_T1w.nii.gz,144,34,12,200,149
sub-10073_ses-s2_T1w.nii.gz,144,33,13,197,150
sub-10073_ses-s4_T1w.nii.gz,147,37,10,197,149
sub-10073_ses-s6_T1w.nii.gz,136,34,10,199,147
sub-10075_ses-s0_T1w.nii.gz,147,28,13,200,147
sub-10075_ses-s2_T1w.nii.gz,147,28,12,201,146
sub-10075_ses-s4_T1w.nii.gz,160,24,13,194,147
sub-10075_ses-s6_T1w.nii.gz,145,31,15,202,149
sub-10076_ses-s0_T1w.nii.gz,144,36,12,198,146
sub-10077_ses-s0_T1w.nii.gz,135,22,10,206,147
sub-10077_ses-s2_T1w.nii.gz,143,24,9,206,147
sub-10077_ses-s4_T1w.nii.gz,141,22,9,201,146
sub-10077_ses-s6_T1w.nii.gz,150,25,12,197,147
sub-10079_ses-s0_T1w.nii.gz,141,31,15,206,143
sub-10079_ses-s2_T1w.nii.gz,145,30,15,201,143
sub-10080_ses-s0_T1w.nii.gz,138,34,12,200,150
sub-10081_ses-s0_T1w.nii.gz,140,36,9,191,147
sub-10081_ses-s2_T1w.nii.gz,138,36,9,188,149
sub-10081_ses-s4_T1w.nii.gz,138,37,10,189,149
sub-10081_ses-s6_T1w.nii.gz,146,33,10,182,147
sub-10082_ses-s0_T1w.nii.gz,146,34,10,201,149
sub-10083_ses-s0_T1w.nii.gz,141,33,13,197,144
sub-10087_ses-s0_T1w.nii.gz,150,37,13,198,146
sub-10088_ses-s0_T1w.nii.gz,133,25,15,196,143
sub-10088_ses-s4_T1w.nii.gz,135,24,15,197,143
sub-10089_ses-s0_T1w.nii.gz,146,33,16,192,138
sub-10090_ses-s0_T1w.nii.gz,136,37,12,190,149
